version,size,errorCorrection,dataBits,numeric,alphanumeric,binary,alignment,blocks,eccSymbolsPerBlock
1,21,L,152,41,25,17,,1,7
1,21,M,128,34,20,14,,1,10
1,21,Q,104,27,16,11,,1,13
1,21,H,72,17,10,7,,1,17
2,25,L,272,77,47,32,"6,18",1,10
2,25,M,224,63,38,26,"6,18",1,16
2,25,Q,176,48,29,20,"6,18",1,22
2,25,H,128,34,20,14,"6,18",1,28
3,29,L,440,127,77,53,"6,22",1,15
3,29,M,352,101,61,42,"6,22",1,26
3,29,Q,272,77,47,32,"6,22",2,18
3,29,H,208,58,35,24,"6,22",2,22
4,33,L,640,187,114,78,"6,26",1,20
4,33,M,512,149,90,62,"6,26",2,18
4,33,Q,384,111,67,46,"6,26",2,26
4,33,H,288,82,50,34,"6,26",4,16
5,37,L,864,255,154,106,"6,30",1,26
5,37,M,688,202,122,84,"6,30",2,24
5,37,Q,496,144,87,60,"6,30",4,18
5,37,H,368,106,64,44,"6,30",4,22
6,41,L,1088,322,195,134,"6,34",2,18
6,41,M,864,255,154,106,"6,34",4,16
6,41,Q,608,178,108,74,"6,34",4,24
6,41,H,480,139,84,58,"6,34",4,28
7,45,L,1248,370,224,154,"6,22,38",2,20
7,45,M,992,293,178,122,"6,22,38",4,18
7,45,Q,704,207,125,86,"6,22,38",6,18
7,45,H,528,154,93,64,"6,22,38",5,26
8,49,L,1552,461,279,192,"6,24,42",2,24
8,49,M,1232,365,221,152,"6,24,42",4,22
8,49,Q,880,259,157,108,"6,24,42",6,22
8,49,H,688,202,122,84,"6,24,42",6,26
9,53,L,1856,552,335,230,"6,26,46",2,30
9,53,M,1456,432,262,180,"6,26,46",5,22
9,53,Q,1056,312,189,130,"6,26,46",8,20
9,53,H,800,235,143,98,"6,26,46",8,24
10,57,L,2192,652,395,271,"6,28,50",4,18
10,57,M,1728,513,311,213,"6,28,50",5,26
10,57,Q,1232,364,221,151,"6,28,50",8,24
10,57,H,976,288,174,119,"6,28,50",8,28
11,61,L,2592,772,468,321,"6,30,54",4,20
11,61,M,2032,604,366,251,"6,30,54",5,30
11,61,Q,1440,427,259,177,"6,30,54",8,28
11,61,H,1120,331,200,137,"6,30,54",11,24
12,65,L,2960,883,535,367,"6,32,58",4,24
12,65,M,2320,691,419,287,"6,32,58",8,22
12,65,Q,1648,489,296,203,"6,32,58",10,26
12,65,H,1264,374,227,155,"6,32,58",11,28
13,69,L,3424,1022,619,425,"6,34,62",4,26
13,69,M,2672,796,483,331,"6,34,62",9,22
13,69,Q,1952,580,352,241,"6,34,62",12,24
13,69,H,1440,427,259,177,"6,34,62",16,22
14,73,L,3688,1101,667,458,,4,30
14,73,M,2920,871,528,362,,9,24
14,73,Q,2088,621,376,258,,16,20
14,73,H,1576,468,283,194,,16,24
15,77,L,4184,1250,758,520,,6,22
15,77,M,3320,991,600,412,,10,24
15,77,Q,2360,703,426,292,,12,30
15,77,H,1784,530,321,220,,18,24
16,81,L,4712,1408,854,586,,6,24
16,81,M,3624,1082,656,450,,10,28
16,81,Q,2600,775,470,322,,17,24
16,81,H,2024,602,365,250,,16,30
17,85,L,5176,1548,938,644,,6,28
17,85,M,4056,1212,734,504,,11,28
17,85,Q,2936,876,531,364,,16,28
